budget,id,original_language,popularity,release_date,revenue,runtime,title,vote_average,vote_count,collection,genre,production_company,production_country,language,release_year,return,collection_id,genre_id,company_id
62000000,9087,en,6.318445,1995-11-17,107879496.0,106.0,The American President,6.5,199.0,,"Comedy, Drama, Romance","Columbia Pictures, Castle Rock Entertainment",United States of America,English,1995,1.739991870967742,,"35, 18, 10749","5, 97"
0,12110,en,5.430331,1995-12-22,0.0,88.0,Dracula: Dead and Loving It,5.7,210.0,,"Comedy, Horror","Columbia Pictures, Castle Rock Entertainment, Enigma Pictures","France, United States of America","English, Deutsch",1995,0.0,,"35, 27","5, 97, 6368"
0,21032,en,12.140733,1995-12-22,11348324.0,78.0,Balto,7.1,423.0,Balto Collection,"Family, Animation, Adventure","Universal Pictures, Amblin Entertainment, Amblimation",United States of America,English,1995,inf,117693,"10751, 16, 12","33, 56, 4105"
44000000,10858,en,5.092,1995-12-22,13681765.0,192.0,Nixon,7.1,72.0,,"History, Drama","Hollywood Pictures, Cinergi Pictures Entertainment",United States of America,English,1995,0.31094920454545455,,"36, 18","915, 1504"
98000000,1408,en,7.284477,1995-12-22,10017322.0,119.0,Cutthroat Island,5.7,137.0,,"Action, Adventure","Le Studio Canal+, Laurence Mark Productions, Metro-Goldwyn-Mayer (MGM), Carolco Pictures","France, Germany, Italy, United States of America","English, Latin",1995,0.10221757142857144,,"28, 12","183, 415, 8411, 14723"
52000000,524,en,10.137389,1995-11-22,116112375.0,178.0,Casino,7.8,1343.0,,"Drama, Crime","Universal Pictures, Légende Entreprises, Syalis DA, De Fina-Cappa","France, United States of America",English,1995,2.2329302884615383,,"18, 80","33, 10898, 11583, 11584"
16500000,4584,en,10.673167,1995-12-13,135000000.0,136.0,Sense and Sensibility,7.2,364.0,,"Drama, Romance","Columbia Pictures Corporation, Mirage Enterprises","United Kingdom, United States of America",English,1995,8.181818181818182,,"18, 10749","441, 932"
4000000,5,en,9.026586,1995-12-09,4300000.0,98.0,Four Rooms,6.5,539.0,,"Crime, Comedy","Miramax Films, A Band Apart",United States of America,English,1995,1.075,,"80, 35","14, 59"
30000000,9273,en,8.205448,1995-11-10,212385533.0,90.0,Ace Ventura: When Nature Calls,6.1,1128.0,Ace Ventura Collection,"Crime, Comedy, Adventure","O Entertainment, Warner Bros., Morgan Creek Productions",United States of America,English,1995,7.079517766666667,3167,"80, 35, 12","5682, 6194, 10210"
60000000,11517,en,7.337906,1995-11-21,35431113.0,103.0,Money Train,5.4,224.0,,"Action, Comedy, Crime",Columbia Pictures,United States of America,English,1995,0.59051855,,"28, 35, 80",5
30250000,8012,en,12.669608,1995-10-20,115101622.0,105.0,Get Shorty,6.4,305.0,Chili Palmer Collection,"Comedy, Thriller, Crime","Jersey Films, Metro-Goldwyn-Mayer (MGM)",United States of America,English,1995,3.805012297520661,91698,"35, 53, 80","216, 8411"
0,1710,en,10.701801,1995-10-27,0.0,124.0,Copycat,6.5,199.0,,"Drama, Thriller","Regency Enterprises, New Regency Pictures",United States of America,"English, Deutsch",1995,0.0,,"18, 53","508, 10104"
50000000,9691,en,11.065939,1995-10-06,30303072.0,132.0,Assassins,6.0,394.0,,"Action, Adventure, Crime, Thriller","Silver Pictures, Canal+, Warner Bros., Dino De Laurentiis Company, Donner/Shuler-Donner Productions, Evansgideon/Lazar","France, United States of America","English, Español, Nederlands",1995,0.60606144,,"28, 12, 80, 53","1885, 5358, 6194, 10308, 23397, 25061"
0,12665,en,12.133094,1995-10-27,0.0,111.0,Powder,6.3,143.0,,"Drama, Fantasy, Science Fiction, Thriller","Caravan Pictures, Hollywood Pictures",United States of America,English,1995,0.0,,"18, 14, 878, 53","175, 915"
3600000,451,en,10.332025,1995-10-27,49800000.0,112.0,Leaving Las Vegas,7.1,365.0,,"Drama, Romance","United Artists, Intial Productions",United States of America,English,1995,13.833333333333334,,"18, 10749","60, 15547"
0,16420,en,1.845899,1995-12-15,0.0,123.0,Othello,7.0,33.0,,Drama,"Columbia Pictures, Castle Rock Entertainment",Italy,English,1995,0.0,,18,"5, 97"
12000000,9263,en,8.681325,1995-10-20,27400000.0,100.0,Now and Then,6.6,91.0,,"Comedy, Drama, Family",New Line Cinema,United States of America,English,1995,2.283333333333333,,"35, 18, 10751",12
0,17015,en,2.228434,1995-09-27,0.0,104.0,Persuasion,7.4,36.0,,"Drama, Romance",BBC Films,"United Kingdom, France",English,1995,0.0,,"18, 10749",288
18000000,902,fr,9.822423,1995-05-16,1738611.0,108.0,The City of Lost Children,7.6,308.0,,"Fantasy, Science Fiction, Adventure","Procirep, Constellation Productions, France 3 Cinéma, Claudie Ossard Productions, Eurimages, MEDIA Programme of the European Union, Cofimage 5, Televisión Española (TVE), Tele München Fernseh Produktionsgesellschaft (TMG), Canal+ España, Elías Querejeta Producciones Cinematográficas S.L., Centre National de la Cinématographie (CNC), Victoires Productions, Constellation, Lumière Pictures, Canal+, Studio Image, Cofimage 4, Ossane, Phoenix Images","France, Germany, Spain","广州话 / 廣州話, Français",1995,0.0965895,,"14, 878, 12","311, 590, 591, 592, 850, 851, 1871, 6639, 7237, 8170, 9335, 12009, 18367, 25020, 25021, 25129, 47532, 68517, 79437, 79438, 79439"
0,37557,zh,1.100915,1995-04-30,0.0,108.0,Shanghai Triad,6.5,17.0,,"Drama, Crime","Ministère des Affaires Étrangères, Alpha Films, La Sept Cinéma","China, France",普通话,1995,0.0,,"18, 80","2588, 4507, 23647"
0,9909,en,9.481338,1995-08-11,180000000.0,99.0,Dangerous Minds,6.4,249.0,,"Drama, Crime","Hollywood Pictures, Via Rosa Productions, Don Simpson/Jerry Bruckheimer Films",United States of America,English,1995,inf,,"18, 80","915, 10103, 10288"
29500000,63,en,12.297305,1995-12-29,168840000.0,129.0,Twelve Monkeys,7.4,2470.0,,"Science Fiction, Thriller, Mystery","Universal Pictures, Atlas Entertainment, Classico",United States of America,"English, Français",1995,5.7233898305084745,,"878, 53, 9648","33, 507, 17031"
0,78802,fr,0.745542,1996-09-18,0.0,50.0,Wings of Courage,6.8,4.0,,"Romance, Adventure",Iwerks Entertainment,"France, United States of America",English,1996,0.0,,"10749, 12",70801
30000000,9598,en,14.404764,1995-07-18,254134910.0,89.0,Babe,6.0,756.0,Babe Collection,"Fantasy, Drama, Comedy, Family","Universal Pictures, Kennedy Miller Productions","Australia, United States of America",English,1995,8.471163666666667,9435,"14, 18, 35, 10751","33, 2537"
0,47018,en,1.493361,1995-11-08,0.0,121.0,Carrington,6.4,16.0,,"History, Drama, Romance","StudioCanal, Cinéa, Euston Films, Freeway Films, European Co-production Fund, Polygram Filmed Entertainment, Orsans Productions","France, United Kingdom",English,1995,0.0,,"36, 18, 10749","694, 874, 8363, 19316, 30226, 31080, 44821"
11000000,687,en,6.891317,1995-12-29,39363635.0,122.0,Dead Man Walking,7.3,350.0,,Drama,"Havoc, PolyGram Filmed Entertainment, Working Title Films","United States of America, United Kingdom",English,1995,3.5785122727272727,,18,"406, 1382, 10163"
0,139405,en,0.114469,1995-10-20,0.0,51.0,Across the Sea of Time,3.5,2.0,,"Adventure, History, Drama, Family",Sony New Technologies,United States of America,"Pусский, English",1995,0.0,,"12, 36, 18, 10751",53390
0,33689,en,7.777735,1995-11-17,0.0,101.0,It Takes Two,6.1,149.0,,"Comedy, Family, Romance","Dualstar Productions, Warner Bros., Rysher Entertainment, Orr & Cruickshank",United States of America,English,1995,0.0,,"35, 10751, 10749","6130, 6194, 11661, 89131"
12000000,9603,en,9.882383,1995-07-19,0.0,97.0,Clueless,6.9,828.0,,"Comedy, Drama, Romance",Paramount Pictures,United States of America,"Español, English",1995,0.0,,"35, 18, 10749",4
0,34615,en,0.894647,1995-12-15,676525.0,106.0,"Cry, the Beloved Country",6.7,13.0,,Drama,"Miramax, Distant Horizon, Alpine Pty Limited",South Africa,English,1995,inf,,18,"53009, 85681, 89840"
0,31174,en,4.561387,1995-12-29,0.0,104.0,Richard III,6.9,50.0,,"Drama, War","British Screen, Mayfair Entertainment International","United Kingdom, United States of America",English,1995,0.0,,"18, 10752","871, 34237"
10000000,11443,en,9.87957,1995-10-06,0.0,119.0,Dead Presidents,6.6,80.0,,"Action, Crime, Drama, History","Caravan Pictures, Underworld Entertainment, Hollywood Pictures",United States of America,English,1995,0.0,,"28, 80, 18, 36","175, 476, 915"
19000000,35196,en,10.979269,1995-12-29,0.0,117.0,Restoration,6.3,30.0,,"Drama, Romance",Miramax Films,United States of America,"English, Español",1995,0.0,,"18, 10749",14
18000000,9312,en,10.870138,1995-08-18,122195920.0,101.0,Mortal Kombat,5.4,452.0,Mortal Kombat Collection,"Action, Fantasy","New Line Cinema, Threshold Entertainment",United States of America,English,1995,6.788662222222222,9818,"28, 14","12, 4174"
20000000,577,en,10.448481,1995-05-20,21284514.0,106.0,To Die For,6.7,177.0,,"Fantasy, Drama, Comedy, Thriller","The Rank Organisation, Columbia Pictures Corporation",United States of America,English,1995,1.0642257,,"14, 18, 35, 53","364, 441"
10000000,11861,en,4.485958,1995-10-06,23574130.0,116.0,How To Make An American Quilt,6.5,38.0,,"Drama, Romance","Universal Pictures, Amblin Entertainment",United States of America,English,1995,2.357413,,"18, 10749","33, 56"
33000000,807,en,18.45743,1995-09-22,327311859.0,127.0,Se7en,8.1,5915.0,,"Crime, Mystery, Thriller","New Line Cinema, Juno Pix, Cecchi Gori Pictures",United States of America,English,1995,9.918541181818181,,"80, 9648, 53","12, 4286, 65394"
55000000,10530,en,13.280069,1995-06-14,346079773.0,81.0,Pocahontas,6.7,1509.0,Pocahontas Collection,"Adventure, Animation, Drama, Family","Walt Disney Pictures, Walt Disney Feature Animation",United States of America,English,1995,6.292359509090909,136214,"12, 16, 18, 10751","2, 10217"
0,8391,en,3.302524,1995-05-05,0.0,96.0,When Night Is Falling,5.9,10.0,,"Drama, Romance",Alliance Communications Corporation,Canada,English,1995,0.0,,"18, 10749",2480
6000000,629,en,16.302466,1995-07-19,23341568.0,106.0,The Usual Suspects,8.1,3334.0,,"Drama, Crime, Thriller","Blue Parrot Productions, Bad Hat Harry Productions",United States of America,"Español, English, Français, Magyar",1995,3.890261333333333,,"18, 80, 53","361, 9168"
0,117164,en,0.595949,1994-11-22,0.0,93.0,Guardian Angel,6.3,3.0,,"Action, Thriller, Drama",,,,1994,0.0,,"28, 53, 18",
15000000,11448,en,15.899134,1995-09-13,6700000.0,95.0,Mighty Aphrodite,6.7,145.0,,"Comedy, Romance","Miramax Films, Magnolia Pictures",United States of America,English,1995,0.44666666666666666,,"35, 10749","14, 1030"
0,49133,it,1.361286,1994-01-01,0.0,116.0,Lamerica,7.7,11.0,,"Drama, Foreign",,"Italy, France, Switzerland","shqip, Italiano",1994,0.0,,"18, 10769",
0,26441,en,5.982764,1995-09-29,0.0,100.0,The Big Green,5.2,41.0,,"Action, Adventure, Comedy, Family","Walt Disney Pictures, Caravan Pictures",United States of America,"English, Deutsch",1995,0.0,,"28, 12, 35, 10751","2, 175"
0,97406,en,4.093443,1995-05-19,0.0,115.0,Georgia,6.1,15.0,,Drama,"Miramax Films, CiBy 2000","France, United States of America",English,1995,0.0,,18,"14, 7832"
0,124057,en,0.307075,1997-07-08,0.0,89.0,Kids of the Round Table,3.0,1.0,,,"Telefilm Canada, Melenny Productions",,English,1997,0.0,,,"7320, 10260"
0,9089,en,8.416802,1995-11-02,17519169.0,103.0,Home for the Holidays,6.3,39.0,,"Comedy, Drama, Romance","Paramount Pictures, Egg Pictures, PolyGram Filmed Entertainment",United States of America,"English, Español",1995,inf,,"35, 18, 10749","4, 802, 1382"
0,11010,it,10.168437,1994-09-22,0.0,108.0,The Postman,7.6,181.0,,"Comedy, Drama, Romance",,"Belgium, France, Italy","Italiano, Español",1994,0.0,,"35, 18, 10749",
0,99040,fr,0.120789,1995-09-29,0.0,100.0,The Confessional,6.5,2.0,,"Thriller, Drama, Mystery",,Canada,"English, Français",1995,0.0,,"53, 18, 9648",
45000000,11359,en,10.673296,1995-07-14,0.0,96.0,The Indian in the Cupboard,5.9,136.0,,"Adventure, Family, Fantasy","Paramount Pictures, Columbia Pictures Corporation, The Kennedy/Marshall Company",United States of America,English,1995,0.0,,"12, 10751, 14","4, 441, 862"
20000000,17182,en,4.733526,1996-01-12,0.0,101.0,Eye for an Eye,5.8,65.0,,"Drama, Thriller",Paramount Pictures,United States of America,"English, Français, 한국어/조선말, Español",1996,0.0,,"18, 53",4
0,2054,en,7.137117,1995-12-29,106269971.0,137.0,Mr. Holland's Opus,6.9,115.0,,"Music, Drama, Family","Hollywood Pictures, The Charlie Mopic Company, PolyGram Filmed Entertainment, Interscope Communications",United States of America,English,1995,inf,,"10402, 18, 10751","915, 916, 1382, 10201"
0,10607,en,11.700115,1996-01-12,0.0,89.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192.0,,Comedy,"Miramax Films, Island Pictures, Ivory Way Productions",United States of America,"English, Español",1996,0.0,,35,"14, 3492, 5441"
0,19760,en,2.174487,1996-01-12,0.0,96.0,Two If by Sea,4.5,14.0,,"Comedy, Romance","Warner Bros., Morgan Creek Productions",United States of America,English,1996,0.0,,"35, 10749","6194, 10210"
15000000,9536,en,6.387469,1996-01-12,0.0,88.0,Bio-Dome,4.4,110.0,,Comedy,"Metro-Goldwyn-Mayer (MGM), Motion Picture Corporation of America (MPCA), 3 Arts Entertainment, Weasel Productions",United States of America,"English, Pусский",1996,0.0,,35,"8411, 11061, 36390, 38003"
0,11525,en,2.49535,1996-01-12,2409225.0,92.0,Lawnmower Man 2: Beyond Cyberspace,2.8,32.0,The Lawnmower Man Collection,"Action, Science Fiction",New Line Cinema,United States of America,"English, Magyar",1996,inf,124935,"28, 878",12
0,40628,en,4.046208,1995-10-22,0.0,85.0,Two Bits,5.4,11.0,,"Drama, Family",Miramax Films,United States of America,English,1995,0.0,,"18, 10751",14
0,4482,fr,2.518051,1995-02-08,0.0,95.0,French Twist,6.0,43.0,,"Comedy, Romance","Renn Productions, Les Films Flam, TF1 Films Production, Canal+",France,"Français, Español",1995,0.0,,"35, 10749","82, 1614, 3823, 5358"
3500000,10634,en,14.56965,1995-04-26,28215918.0,91.0,Friday,7.0,513.0,Friday Collection,Comedy,New Line Cinema,United States of America,English,1995,8.061690857142857,43563,35,12
19000000,755,en,15.339153,1996-01-19,25836616.0,108.0,From Dusk Till Dawn,6.9,1644.0,From Dusk Till Dawn Collection,"Horror, Action, Thriller, Crime","A Band Apart, Dimension Films, Los Hooligans Productions, Miramax",United States of America,"English, Español",1996,1.3598218947368421,10924,"27, 28, 53, 80","59, 7405, 11705, 53009"
50000000,11859,en,5.912223,1995-11-03,11534477.0,91.0,Fair Game,4.1,54.0,,"Action, Thriller, Romance","Silver Pictures, Warner Bros.",United States of America,"English, Español",1995,0.23068954,,"28, 53, 10749","1885, 6194"
0,28387,en,3.367276,1995-10-06,718490.0,96.0,Kicking and Screaming,7.0,36.0,,"Comedy, Drama, Romance","Castleberg Productions, Sandollar Productions",United States of America,English,1995,inf,,"35, 18, 10749","5841, 5842"
0,48750,fr,1.479446,1995-03-22,0.0,175.0,Les Miserables,6.6,8.0,,"Drama, History","Les Films 13, Canal+, TF1",France,Français,1995,0.0,,"18, 36","1742, 5358, 22123"
0,20927,en,10.412194,1996-01-26,19030691.0,87.0,Bed of Roses,5.1,27.0,,"Drama, Romance","New Line Cinema, Juno Pix",United States of America,English,1996,inf,,"18, 10749","12, 4286"
15000000,36929,en,2.936443,1996-01-26,2042530.0,90.0,Big Bully,3.9,16.0,,"Comedy, Family","Warner Bros., Morgan Creek Productions",United States of America,English,1996,0.13616866666666666,,"35, 10751","6194, 10210"
20000000,9102,en,12.758848,1995-09-08,5781885.0,108.0,Screamers,6.1,154.0,Screamers Collection,"Horror, Science Fiction","The Movie Network (TMN), Allegro Films, Fuji Eight Company Ltd., Fries Film Group, Super Ecran, Triumph Films","Canada, Japan, United States of America",English,1995,0.28909425,122017,"27, 878","3388, 4899, 7958, 23096, 23097, 23098"
0,124626,en,0.133893,1995-02-18,0.0,70.0,Nico Icon,7.3,3.0,,Documentary,"Zweites Deutsches Fernsehen (ZDF), Ciak Filmproduktion, Bluehorse Films","Germany, United States of America","Deutsch, English",1995,0.0,,99,"4606, 83201, 93174"
0,27526,en,5.756462,1995-11-15,0.0,111.0,The Crossing Guard,6.1,74.0,,"Drama, Thriller",Miramax Films,United States of America,English,1995,0.0,,"18, 53",14
44000000,9623,en,6.010579,1996-02-02,0.0,118.0,The Juror,5.5,91.0,,"Drama, Thriller",Columbia Pictures Corporation,United States of America,English,1996,0.0,,"18, 53",441
0,46785,fa,1.196256,1995-01-01,0.0,85.0,The White Balloon,7.5,20.0,,"Family, Drama","I.R.I.B. Channel 2, Ferdos Films",Iran,فارسی,1995,0.0,,"10751, 18","38953, 38954"
8000000,400,en,4.486179,1995-12-01,529766.0,116.0,Things to Do in Denver When You're Dead,6.7,87.0,,"Drama, Crime",Miramax Films,United States of America,English,1995,0.06622075,,"18, 80",14
900000,880,nl,2.030174,1995-09-12,0.0,102.0,Antonia's Line,7.2,26.0,,"Drama, Comedy","Bergen Film, Bard Entertainments, NPS Televisie","Netherlands, United Kingdom, Belgium",Nederlands,1995,0.0,,"18, 35","575, 576, 577"
0,146599,en,0.252287,1996-01-26,0.0,115.0,Once Upon a Time... When We Were Colored,4.5,2.0,,"Romance, Drama","BET Pictures, United Image Entertainme",United States of America,English,1996,0.0,,"10749, 18","38196, 38197"
0,188588,en,0.531159,1995-11-22,0.0,108.0,Last Summer in the Hamptons,0.0,0.0,,,,,,1995,0.0,,,
0,8447,en,2.15166,1995-09-10,0.0,118.0,Angels and Insects,6.3,17.0,,"Drama, Romance","Playhouse International Pictures, The Samuel Goldwyn Company","United Kingdom, United States of America",English,1995,0.0,,"18, 10749","2492, 8888"
38000000,10534,en,9.568604,1996-02-02,10300000.0,129.0,White Squall,6.3,86.0,,"Action, Drama","Hollywood Pictures, Largo Entertainment, Scott Free Productions",United States of America,"Dansk, English, Français, Deutsch",1996,0.2710526315789474,,"28, 18","915, 1644, 1645"
16000000,17414,en,4.814825,1996-01-12,0.0,88.0,Dunston Checks In,5.1,59.0,,"Adventure, Comedy, Family","Twentieth Century Fox Film Corporation, Joe Wizan/Todd Black",United States of America,"English, Français, Pусский",1996,0.0,,"12, 35, 10751","306, 3311"
0,13997,en,8.963037,1996-02-01,32.0,87.0,Black Sheep,6.0,124.0,,Comedy,Paramount Pictures,United States of America,English,1996,inf,,35,4
8169363,2086,en,6.848591,1995-11-22,8175346.0,90.0,Nick of Time,6.1,190.0,,"Crime, Drama, Thriller",Paramount Pictures,United States of America,English,1995,1.000732370443081,,"80, 18, 53",4
0,61548,en,0.411424,1995-09-14,0.0,91.0,The Journey of August King,6.7,3.0,,Drama,"Miramax Films, Addis Wechsler Pictures",United States of America,English,1995,0.0,,18,"14, 4665"
47000000,9095,en,12.866139,1996-02-23,12379402.0,104.0,Mary Reilly,5.7,77.0,,"Drama, Horror, Thriller, Romance","TriStar Pictures, NFH Productions",United States of America,English,1996,0.2633915319148936,,"18, 27, 53, 10749","559, 18737"
14000000,12158,en,9.071127,1995-10-26,19800000.0,100.0,Vampire in Brooklyn,4.5,113.0,,"Comedy, Horror, Romance",Paramount Pictures,United States of America,English,1995,1.4142857142857144,,"35, 27, 10749",4
0,9283,en,4.670562,1996-02-09,0.0,112.0,Beautiful Girls,6.6,103.0,,"Comedy, Drama, Romance","Miramax Films, Woods Entertainment",United States of America,English,1996,0.0,,"35, 18, 10749","14, 979"
50000000,9208,en,14.957626,1996-02-09,150270147.0,108.0,Broken Arrow,5.7,459.0,,"Action, Adventure, Drama, Thriller","Twentieth Century Fox Film Corporation, WCG Entertainment Productions, Mark Gordon Productions",United States of America,English,1996,3.00540294,,"28, 12, 18, 53","306, 456, 11362"
0,40154,en,0.513391,1995-12-01,0.0,99.0,A Midwinter's Tale,7.5,6.0,,Comedy,"Castle Rock Entertainment, Midwinter Films",United Kingdom,English,1995,0.0,,35,"97, 75942"
3000000,406,fr,12.108196,1995-05-31,0.0,98.0,La Haine,7.9,695.0,,Drama,"Egg Pictures, PolyGram Filmed Entertainment, Canal+, Les Productions Lazennec, La Sept Cinéma, Kasso Inc. Productions, Studio Image, Cofinergie 6",France,Français,1995,0.0,,18,"802, 1382, 5358, 5869, 16366, 22684, 68517, 68518"
0,45549,en,2.657647,1994-12-06,0.0,105.0,Shopping,5.6,13.0,,"Action, Adventure, Drama, Science Fiction, Thriller",Channel Four Films,United Kingdom,English,1994,0.0,,"28, 12, 18, 878, 53",181
0,63076,en,0.638211,1995-12-27,0.0,106.0,Heidi Fleiss: Hollywood Madam,6.8,4.0,,Documentary,"British Broadcasting Corporation (BBC), Westdeutscher Rundfunk (WDR), Canadian Broadcasting Corporation (CBC), Cinemax Reel Life, InPictures, Lafayette Films","United Kingdom, Canada, United States of America, Germany",English,1995,0.0,,99,"3324, 7025, 12113, 12911, 12912, 12913"
0,11062,en,4.807223,1996-02-16,0.0,111.0,City Hall,6.0,67.0,,"Drama, Thriller","Columbia Pictures, Castle Rock Entertainment",United States of America,English,1996,0.0,,"18, 53","5, 97"
7000000,13685,en,6.904831,1996-02-21,560069.0,91.0,Bottle Rocket,6.8,285.0,,"Comedy, Crime, Drama","Gracie Films, Columbia Pictures Corporation",United States of America,"Español, English",1996,0.08000985714285715,,"35, 80, 18","18, 441"
0,47475,en,3.329264,1996-02-16,0.0,96.0,Mr. Wrong,3.3,16.0,,"Comedy, Romance",Touchstone Pictures,United States of America,English,1996,0.0,,"35, 10749",9195
18000000,2045,en,2.464425,1996-02-23,0.0,106.0,Unforgettable,5.3,22.0,,"Drama, Mystery, Science Fiction, Thriller","Metro-Goldwyn-Mayer (MGM), Dino De Laurentiis Company, Spelling Films",United States of America,English,1996,0.0,,"18, 9648, 878, 53","8411, 10308, 10355"
12000000,9614,en,9.592265,1996-02-16,41205099.0,92.0,Happy Gilmore,6.5,767.0,,Comedy,"Universal Pictures, Brillstein-Grey Entertainment, Robert Simonds Productions",United States of America,English,1996,3.43375825,,35,"33, 1606, 3929"
24000000,688,en,5.951077,1995-05-28,182016617.0,135.0,The Bridges of Madison County,7.3,397.0,,"Drama, Romance","Amblin Entertainment, Malpaso Productions, Warner Bros.",United States of America,English,1995,7.584025708333333,,"18, 10749","56, 171, 6194"
0,11907,de,1.015068,1994-11-07,0.0,104.0,Nobody Loves Me,5.1,5.0,,"Drama, Comedy, Family",,Germany,Deutsch,1994,0.0,,"18, 35, 10751",
0,10874,en,6.902423,1996-02-16,34327391.0,100.0,Muppet Treasure Island,6.5,93.0,The Muppet Collection,"Action, Comedy, Music, Family, Adventure","Walt Disney Pictures, Jim Henson Productions, Jim Henson Company, The",United States of America,English,1996,inf,256377,"28, 35, 10402, 10751, 12","2, 2504, 6254"
0,89333,en,0.976707,1995-12-08,0.0,95.0,Catwalk,7.0,2.0,,Documentary,,,English,1995,0.0,,99,
0,96357,en,0.001346,1995-05-20,0.0,110.0,Headless Body in Topless Bar,0.0,0.0,,Crime,,,,1995,0.0,,80,
72000000,197,en,20.755149,1995-05-24,210000000.0,177.0,Braveheart,7.7,3404.0,,"Action, Drama, History, War","Icon Entertainment International, The Ladd Company, B.H. Finance C.V.",United States of America,"English, Français, Latin, ",1995,2.9166666666666665,,"28, 18, 36, 10752","4564, 7965, 11353"
1300000,103,en,14.092713,1976-02-07,28262574.0,114.0,Taxi Driver,8.1,2632.0,,"Crime, Drama","Columbia Pictures Corporation, Italo/Judeo Productions, Bill/Phillips",United States of America,"English, Español",1976,21.74044153846154,,"80, 18","441, 46059, 46060"
7500000,33542,cn,12.314278,1995-01-30,32392047.0,91.0,Rumble in the Bronx,6.5,245.0,,"Crime, Action, Comedy, Thriller","New Line Cinema, Golden Harvest Company",Hong Kong,"广州话 / 廣州話, English",1995,4.3189396,,"80, 28, 35, 53","12, 2521"
35000000,43566,en,2.938293,1996-02-23,0.0,108.0,Before and After,5.8,37.0,,"Drama, Thriller","Caravan Pictures, Hollywood Pictures",United States of America,"English, Français, Deutsch",1996,0.0,,"18, 53","175, 915"
0,71754,en,0.372697,1995-09-13,0.0,114.0,Margaret's Museum,7.5,2.0,,Drama,"Téléfilm Canada, Skyline Films, Malofilm, Société de Développement des Entreprises Culturelles (SODEC), British Screen Productions, National Film Board of Canada (NFB), imX Communications, Glace Bay Pictures, Ciné Télé Action, Nova Scotia Film Development Corporation, Ranfilm","Canada, United Kingdom",English,1995,0.0,,18,"806, 2055, 3498, 9116, 12745, 17027, 22150, 38673, 38674, 40534, 85045"
13365000,43612,en,1.254885,1995-01-31,0.0,106.0,Happiness Is in the Field,7.0,23.0,,Comedy,"France 2 Cinéma, France 3 Cinéma, StudioCanal, Les Productions du Champ Poirier, Téléma Productions",France,Français,1995,0.0,,35,"83, 591, 694, 883, 885"
0,51352,en,0.243986,1995-06-08,1.0,117.0,Anne Frank Remembered,7.3,4.0,,"Documentary, Drama, Foreign",,"United Kingdom, United States of America, Netherlands",English,1995,inf,,"99, 18, 10769",
